GH_Repo_Name,Remote_URL,Branch_Checked_Out,Latest_Commit_SHA,Date_Most_Recent_Change,Absolute_Path,Other_Available_Branches,Unpushed_Commits,Uncommitted_Changes,Untracked_Files,Stashed_Changes,Local_Only_Branches,Last_Commit_Date,Number_of_Commits,Last_Push_Date,Is_Fork,Is_Nested_Repo,Duplicate_Indicator
"partner-data-update-api","https://github.com/Nationwide/partner-data-update-api.git","PAB-15261-metadata-and-gha-template-one-version","4eb6126","2026-05-23T02:15:42-04:00","/c/devl/.com/migration/partner-data-update-api","  main","0","YES","NO","NO","  main","2026-05-23T02:15:42-04:00","91","2026-05-23T02:15:42-04:00","NO","NO","PENDING"
"Partner-Experience-UI","https://github.com/Nationwide/Partner-Experience-UI","PAB-15261-metadata-and-gha-template-one-version","03e36c6b","2026-05-19T18:33:09-04:00","/c/devl/.com/migration/Partner-Experience-UI","  main","0","YES","YES","NO","  main","2026-05-19T18:33:09-04:00","4503","2026-05-19T18:33:09-04:00","NO","NO","PENDING"
"partner-onboarding","https://github.com/Nationwide/partner-onboarding","PAB-15261-metadata-and-gha-template-one-version","4abd62ed","2026-05-23T02:18:23-04:00","/c/devl/.com/migration/partner-onboarding","  main","41","YES","YES","NO","  main","2026-05-23T02:18:23-04:00","4637","2026-05-23T02:18:23-04:00","NO","NO","PENDING"
"pdx-dpim-integration","https://github.com/Nationwide/pdx-dpim-integration.git","PAB-15261-metadata-and-gha-template-one-version","54aaa62","2026-05-23T02:20:40-04:00","/c/devl/.com/migration/pdx-dpim-integration","  main","0","YES","YES","NO","  main","2026-05-23T02:20:40-04:00","472","2026-05-23T02:20:40-04:00","NO","NO","PENDING"
"minerva-user-documentation","https://github.com/Nationwide/minerva-user-documentation","main","aad69aa","2026-04-07T14:47:33-04:00","/c/devl/.com/minerva-user-documentation","N/A","0","NO","NO","NO","N/A","2026-04-07T14:47:33-04:00","44","2026-04-07T14:47:33-04:00","NO","NO","PENDING"
"MinervaMigrationTemplate","https://github.com/Nationwide/MinervaMigrationTemplate.git","main","a0dc8ee","2025-05-06T09:26:19-04:00","/c/devl/.com/MinervaMigrationTemplate","N/A","0","NO","NO","NO","N/A","2025-05-06T09:26:19-04:00","43","2025-05-06T09:26:19-04:00","NO","NO","PENDING"
"pdx-batch-logging","https://github.com/Nationwide/pdx-batch-logging.git","main","5b43877","2026-05-14T20:15:10-04:00","/c/devl/.com/org-pdx-batch-logging","N/A","75","YES","YES","NO","N/A","2026-05-14T20:15:10-04:00","11","2026-05-14T20:15:10-04:00","NO","NO","PENDING"
"outline","https://github.com/outline/outline.git","main","1b0a5fb06","2026-04-23T05:02:55-04:00","/c/devl/.com/outline","N/A","1517","NO","NO","NO","N/A","2026-04-23T05:02:55-04:00","9383","2026-04-23T05:02:55-04:00","NO","NO","PENDING"
"pab-harness","https://github.com/Nationwide/pab-harness.git","main","a7a6b7e","2026-03-05T08:58:54-05:00","/c/devl/.com/pab-harness","N/A","0","YES","YES","NO","N/A","2026-03-05T08:58:54-05:00","5","2026-03-05T08:58:54-05:00","NO","NO","PENDING"
"grocers","https://github.com/Nationwide/grocers.git","PAB-15017_PAB-15072-org-master-wiki","9f53c1d","2026-04-21T17:10:21-04:00","/c/devl/.com/pab-old-wikis/grocers","  main","0","NO","NO","NO","  main","2026-04-21T17:10:21-04:00","43","2026-04-21T17:10:21-04:00","NO","NO","PENDING"
"grocers.wiki","https://github.com/Nationwide/grocers.wiki.git","master","a9499f5","2026-02-24T16:05:21-05:00","/c/devl/.com/pab-old-wikis/grocers.wiki","N/A","0","NO","NO","NO","N/A","2026-02-24T16:05:21-05:00","835","2026-02-24T16:05:21-05:00","NO","NO","PENDING"
"Partners-and-Beyond","https://github.com/Nationwide/Partners-and-Beyond.git","PAB-15017_PAB-15072-org-master-wiki","a4a53a3","2026-04-21T17:04:56-04:00","/c/devl/.com/pab-old-wikis/Partners-and-Beyond","  main","0","NO","NO","NO","  main","2026-04-21T17:04:56-04:00","29","2026-04-21T17:04:56-04:00","NO","NO","PENDING"
